company;status;longitude;latitude
BREAD BEAUTY SUPPLY;Hiring;-95.470944;37.093293
Bridgepoint Consulting;Hiring;-96.56636;30.071548
Bridgestone;Hiring;-96.766812;33.124373
Bridgewater ;Hiring;-90.008929;35.00002
Bright Health;Freeze;-110.270394;45.291431
Bright Horizons;Freeze;-95.247926;38.665808
Brinker;Hiring;-96.902196;32.991842
Bristol Meyers Squibb;Freeze;-71.352982;42.448552
BroadRidge;Hiring;-78.23123;41.537361
Broker;Hiring;-95.840916;36.987487
brown and brown insurance;Hiring;-82.519077;28.065398
Bruker;Freeze;-105.678045;38.719663
brystal myers squibb;Hiring;-74.322962;40.531094
Buchanan and Edwards;Hiring;-77.063923;38.851031
bud;Hiring;-73.998253;40.750902
Buffalo Group;Hiring;-88.44569;40.951762
Bulb;Hiring;-119.783611;39.502407
Bungalow;Freeze;-116.794105;35.053937
Bunzl;Freeze;-96.029577;37.335642
Burger Lounge;Freeze;-97.2988;37.70176
Button;Freeze;-119.591343;39.603596
cae;Hiring;-117.77884;33.876182
Caliber Home Loans;Hiring;-97.196315;34.236659
Calico;Hiring;-95.895767;35.926287
Campbell Soup;Hiring;-74.548944;40.293861
Canada Life;Freeze;-76.479883;44.576873
Canon;Freeze;-84.108119;38.673663
Capco;Freeze;-80.902985;40.554809
Capgemini;Freeze;-100.364322;34.672832
Capital blue ;Hiring;-76.116287;40.425117
Capital Group;Hiring;-84.549811;38.509405
Capital One;Freeze;-96.769129;33.268691
Capstone;Hiring;-94.838156;40.439509
Captrust;Freeze;-73.996108;40.75933
Carbon Health;Hiring;-74.954913;41.105456
Cardinal Health;Hiring;-95.282497;36.903927
carecentrix;Hiring;-94.556776;33.475069
Cargill;Freeze;-95.810539;38.816549
Carlson ;Hiring;-95.345131;40.535315
carlson wagonlit travel;Freeze;-84.614585;37.859899
Carrier ;Freeze;-98.453531;29.553449
Carta;Hiring;-102.14833;42.26509
Carter's;Freeze;-86.114387;39.821729
Cartwright king;Hiring;-48.885581;41.265313
Carvana;Freeze;-91.802246;36.081152
Cascade;Hiring;-73.996526;40.734932
cascades;Hiring;-74.006865;40.743388
Cater2.me;Hiring;-96.31828;36.066308
Caterpillar;Hiring;-96.318839;36.464188
CBI;Hiring;-99.645353;36.275563
CBRE;Freeze;-93.218603;37.402607
ccc;Hiring;-109.098218;40.247057
Ceco concrete;Freeze;-94.094283;37.328289
Celanese ;Freeze;-90.781379;34.298267
Cellular Sales;Hiring;-84.526959;33.94589
Centro;Freeze;-118.090861;34.012714
Centurylink;Hiring;-94.685951;36.872157
Cerner;Hiring;-88.142016;39.475627
CF industries;Hiring;-97.595282;38.855963
Charge Point;Freeze;-85.048996;41.431055
Charles River Associates;Hiring;-92.217758;36.267189
Charles Schwab ;Hiring;-95.720574;36.909465
