amount;number;location1;location2;location3
720;20;France;Île-de-France;Paris
330;12;Nouvelle-Aquitaine;Bordeaux;France
80;2;France;Île-de-France;Paris
160;6;Hauts-de-France;Lille;France
1420;15
90;4;Peyriac-de-Mer;Occitanie;France
810;28;Auvergne-Rhone-Alpes;Saint-Julien-en-Genevois;France
1100;22
240;9;Les Clayes-sous-Bois;Île-de-France;France
7065;205;Toulon;Provence-Alpes-Côte d'Azur;France
210;13;Goussainville;Île-de-France;France
22620;45;Nouvelle-Aquitaine;Bordeaux;France
390;10;Vaud;Suisse;Lausanne
16162;72
900;22;France;Nancy;Grand Est
80;1;Amiens;Hauts-de-France;France
425;17
280;10
1190;31;Metz;Grand Est;France
180;5;Le Cannet;Provence-Alpes-Côte d'Azur;France
8510;123
161;23;Reims;Grand Est;France
1;1;France;Nantes;Pays de la Loire
5570;106
990;12
525;28
23755;248;Nouvelle-Aquitaine;France
780;19;Île-de-France;Pantin;France
40;1;Mendoza;Argentina
80;2;Salon-de-Provence;Provence-Alpes-Côte d'Azur;France
90;3;Montigny-le-Bretonneux;Île-de-France;France
3400;67;Auvergne-Rhône-Alpes;Charly;France
669;33
40;2
680;51;Quimper;Bretagne;France
1520;24;France;Nancy;Grand Est
120;2;France;Grand Est;Schiltigheim
405;10;Népal
365;17
20;1;Sornay;Bourgogne-Franche-Comte;France
100;2;Saint-Gratien;Île-de-France;France
1120;3;France;Île-de-France;Paris
20;1;Montreuil;Île-de-France;France
440;31;Saint-Max;Grand Est;France
220;5
90;2
11609;100;Morocco;Marrakesh-Safi;Marrakesh
7300;39
40;1;France;Île-de-France;Paris
240;12
20;1
10;1
3170;82;France;Île-de-France;Paris
1565;33;Mougins;Provence-Alpes-Côte d'Azur;France
130;4;Garges-lès-Gonesse;Île-de-France;France
330;12;Bourgogne-Franche-Comté;France
45;3;France
140;4;France
2390;35;Saint-Denis;Réunion
140;2
2191;52;Nouvelle-Aquitaine;Libourne;France
135;7;France
1350;9;France;Auvergne-Rhone-Alpes;Grenoble
425;22;Auvergne-Rhône-Alpes;Saint-Haon-le-Vieux;France
350;7;Villepinte;Île-de-France;France
40627;694;France;Mulhouse;Grand Est
80;3;Île-de-France;France
80;2;France;Nancy;Grand Est
670;12;Nouvelle-Aquitaine;Libourne;France
1880;27;France;Varangéville;Grand Est
10;1;France;Nouvelle-Aquitaine;Fumel
395;16
2054;51;France;Nancy;Grand Est
100;2;Normandie;Cierrey;France
575;22;Saint-Jean-de-Fos;Occitanie;France
250;3;Switzerland;Geneva
3700;97
5;1;France
3460;96;Boulogne-Billancourt;Île-de-France;France
395;25;France
150;3
1035;27;France;Île-de-France;Paris
190;3;Spain
1160;51
10;1
60;4;France;Île-de-France;Paris
60;2;France;Auvergne-Rhone-Alpes;Grenoble
2690;62;France;Nouvelle-Aquitaine;Montpouillan
650;44;France;Île-de-France;Paris
670;8;Reims;Grand Est;France
360;6;France;Île-de-France;Paris
19547;719;Bayonne;Nouvelle-Aquitaine;France
2750;63;Argenteuil;Île-de-France;France
120;4;Wallonia;Belgium;Tubize
1890;35;France;Île-de-France;Paris
50;5;France
480;9;Le Perray-en-Yvelines;Île-de-France;France
475;10;Bénodet;Bretagne;France
1400;51;Magny-Vernois;Bourgogne-Franche-Comte;France
50;2;Melun;Île-de-France;France
540;30;France
630;3
220;3;L'Isle-Adam;Île-de-France;France
6169;101;France;Occitanie;Fonsorbes
3742;112
2953;73;Auvergne-Rhône-Alpes;Contamine-sur-Arve;France
400;7;France;Provence-Alpes-Côte d'Azur;Marseille
5;1
20;1;Béziers;Occitanie;France
840;39;Vernon;Normandy;France
87;3
2575;84;France
7076;190
500;1;France;Île-de-France;Paris
3227;87;France;Mulhouse;Grand Est
255;14
945;23
1075;52;Arles;Provence-Alpes-Côte d'Azur;France
1750;49;Sedan;Grand Est;France
1977;33;Montpellier;Occitanie;France
10;1;France;Pays de la Loire
100;1;Île-de-France;France
10;1;France;Saint-Nazaire;Pays de la Loire
60;2;France;Hauts-de-France;Marcelcave
40;3;France
8908;80
250;7;Grostenquin;Grand Est;France
1747;47;Centre-Val de Loire;Chartres;France
930;31;Saint-Denis;Réunion
555;21;France;Île-de-France;Paris
1520;22;France;Provence-Alpes-Côte d'Azur;Fréjus
4454;145;France;Grand Est;Hunspach
310;21
805;10;Bali;Denpasar;Indonesia
