amount;number;location1;location2;location3
1160;45;Auvergne-Rhône-Alpes;France;Lyon
945;9;State of Bahia;Brésil
2400;72;France;Provence-Alpes-Côte d'Azur;Marseille
1230;17
406;9
1080;21
1425;51;France
280;8;Sarcelles;Île-de-France;France
430;3;Nouvelle-Aquitaine;Bordeaux;France
160;6;Montreuil;Île-de-France;France
30;2
945;41
970;28;Forbach;Grand Est;France
2270;23;Montreuil;Île-de-France;France
69;3;France;Île-de-France;Paris
372;10
440;18;France;Île-de-France;Paris
70;2;France;Provence-Alpes-Côte d'Azur;Marseille
420;18;France;Provence-Alpes-Côte d'Azur;Martigues
95;4
40;4;France;Nantes;Pays de la Loire
360;8;Bruxelles;Belgique
6104;169
230;11;Toulon;Provence-Alpes-Côte d'Azur;France
2560;4;France;Île-de-France;Paris
100;8;France;Auvergne-Rhone-Alpes;Lyon
20;2
20;2;Lunel;Occitanie;France
2530;81;France;Auvergne-Rhone-Alpes;Lyon
70;3;Rieumes;Occitanie;France
165;6;Auvergne-Rhone-Alpes;Chambéry;France
390;10;Occitanie;Nîmes;France
55;5;Normandy;Le Grand-Quevilly;France
700;9;Vaud;Suisse;Paudex
10;1
3775;66
360;8;Mitry-Mory;Île-de-France;France
1625;29
970;13;Colmar;Grand Est;France
3355;57
8057;119;Obernai;Grand Est;France
300;5;France
1210;37;France;Île-de-France;Paris
40;4;Amiens;Hauts-de-France;France
30;1;Savigny-le-Temple;Île-de-France;France
55;4;France
200;4
550;2;Watermael-Boitsfort;Bruxelles;Belgique
2;2;France;Île-de-France;Paris
12;2;France;Normandy;Alençon
390;11;Aix-en-Provence;Provence-Alpes-Côte d'Azur;France
525;14;Poissy;Île-de-France;France
85;5;Clamart;Île-de-France;France
655;12;Mont-de-Marsan;Nouvelle-Aquitaine;France
619;34;Auvergne-Rhône-Alpes;Voiron;France
858;27;Centre-Val de Loire;Orléans;France
550;12
46;6;Auvergne-Rhone-Alpes;Moidieu;France
1550;15;France;Île-de-France;Paris
150;6
120;3;France;Grand Est;Talange
378;19;Triel-sur-Seine;Île-de-France;France
260;13;Toulon;Provence-Alpes-Côte d'Azur;France
150;5;France
80;2;Chelles;Île-de-France;France
2217;16
1;1;Béziers;Occitanie;France
1380;44
160;2
565;16;Toulouse;Occitanie;France
16225;212
125;7;Occitanie;Argeles;France
3100;40
530;9;Saint-Maurice;Île-de-France;France
25063;621;Auvergne-Rhone-Alpes;Montmelian;France
4187;108;France;Normandy;Vicques
1320;11;France;Île-de-France;Paris
160;7;Auvergne-Rhône-Alpes;Saint-Genis-Laval;France
40;1;Benfeld;Grand Est;France
600;17;France;Île-de-France;Paris
5095;162;Occitanie;Narbonne;France
1460;16
70;2;Bastia;Corsica;France
1540;38
2438;62;Manosque;Provence-Alpes-Côte d'Azur;France
100;1
470;6;Île-de-France;Villejuif;France
10;1;France;Provence-Alpes-Côte d'Azur;Marseille
290;6;Valbonne;Provence-Alpes-Côte d'Azur;France
160;4;France;Grand Est;Charleville-Mézières
1;1;Bourgogne-Franche-Comte;Imphy;France
8640;229;Centre-Val de Loire;Dreux;France
20164;602;Toulon;Provence-Alpes-Côte d'Azur;France
1260;34;Limoges;Nouvelle-Aquitaine;France
165;7;France;Normandie;La Rivière-Saint-Sauveur
2040;33
5;1
