country,country_code,num_pop
Slovak Republic,SVK,9.1727
Slovenia,SVN,9.68
Sweden,SWE,11.5434
Eswatini,SWZ,2
Seychelles,SYC,3.2613
Syrian Arab Republic,SYR,1.46
Chad,TCD,0.3637
East Asia & Pacific (IDA & IBRD countries),TEA,2.12482119727019
Europe & Central Asia (IDA & IBRD countries),TEC,6.92166641165145
Togo,TGO,0.298
Thailand,THA,2.9647
Tajikistan,TJK,5.233
Turkmenistan,TKM,4.6306
Latin America & the Caribbean (IDA & IBRD countries),TLA,4.66236914905085
Timor-Leste,TLS,1.6701
Middle East & North Africa (IDA & IBRD countries),TMN,1.75260367546105
Tonga,TON,3.932
South Asia (IDA & IBRD),TSA,1.73723895864831
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.02859599016712
Trinidad and Tobago,TTO,3.5093
Tunisia,TUN,2.6351
Turkey,TUR,2.6304
Tuvalu,TUV,3.7615
Tanzania,TZA,0.4126
Uganda,UGA,0.6303
Ukraine,UKR,7.0576
Upper middle income,UMC,3.47654197626777
Uruguay,URY,1.9299
United States of America,USA,8.55
Uzbekistan,UZB,12.0739
St. Vincent and the Grenadines,VCT,2.5801
"Venezuela, RB",VEN,1.1223
Vietnam,VNM,1.4321
Vanuatu,VUT,1.3853
World,WLD,3.42342029791407
Samoa,WSM,1.8565
"Yemen, Rep.",YEM,0.73
South Africa,ZAF,3.5171
Zambia,ZMB,0.8925
Zimbabwe,ZWE,1.1546
