country,country_code,num_pop,latitude,longitude
Trinidad and Tobago,TTO,3.5093,11,-61
Tunisia,TUN,2.6351,34,9
Turkey,TUR,2.6304,39.059012,34.911546
Tuvalu,TUV,3.7615,-8,178
Tanzania,TZA,0.4126,-6,35
Uganda,UGA,0.6303,2,33
Ukraine,UKR,7.0576,49,32
Uruguay,URY,1.9299,-33,-56
United States of America,USA,8.55,39.828175,-98.5795
Uzbekistan,UZB,12.0739,41.707542,63.84911
Vietnam,VNM,1.4321,16.166667,107.833333
Vanuatu,VUT,1.3853,-16,167
Samoa,WSM,1.8565,-13.803096,-172.178309
South Africa,ZAF,3.5171,-30,26
Zambia,ZMB,0.8925,-15,30
Zimbabwe,ZWE,1.1546,-19,29
